全国地方公共団体コード,ID,地方公共団体名,名称,名称_カナ,所在地_全国地方公共団体コード,町字ID,所在地,所在地_都道府県,所在地_市区町村,所在地_町字,所在地_番地以下,建物名等(方書),緯度,経度,高度の種別,高度の値,設置位置,電話番号,内線番号,郵便番号,法人番号,団体名,月曜日,火曜日,水曜日,木曜日,金曜日,土曜日,日曜日,祝日,利用可能日時特記事項,小児対応設備の有無,URL
382027,67,愛媛県今治市,(旧)今治市立今治小学校,(キュウ)イマバリシリツイマバリショウガッコウ,382027,189002,愛媛県今治市南大門町二丁目5-1,愛媛県,今治市,南大門町二丁目,5-1,,34.06659,132.99552,,,体育館玄関,,,7940027,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356999
382027,68,愛媛県今治市,今治市立中央図書館,イマバリシリツチュウオウトショカン,382027,140005,愛媛県今治市常盤町五丁目203-2,愛媛県,今治市,常盤町五丁目,203-2,,34.06181,132.99442,階数,1,1階総合カウンター横,,,7940015,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10356998
382027,69,愛媛県今治市,来島観光休憩所,クルシマカンコウキュウケイジョ,382027,78000,愛媛県今治市来島572,愛媛県,今治市,来島,572,,34.11684,132.96961,,,入口壁面,,,7992121,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357036
382027,70,愛媛県今治市,小島集会所,オシマシュウカイジョ,382027,78000,愛媛県今治市来島小島90,愛媛県,今治市,来島,小島90,,34.12298,132.9783,,,受付カウンター上,,,7992122,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357035
382027,71,愛媛県今治市,関前小大下地区,セキゼンショウオオシタチク,382027,103000,愛媛県今治市関前小大下乙1352-2,愛媛県,今治市,関前小大下,乙1352-2,,34.19036,132.90014,,,住民センター 受付カウンター下,,,7941102,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357034
382027,72,愛媛県今治市,関前大下地区,セキゼンオオシタチク,382027,101000,愛媛県今治市関前大下甲65-1,愛媛県,今治市,関前大下,甲65-1,,34.18847,132.92292,,,住民センター 入口左 壁面,,,7941103,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357033
382027,73,愛媛県今治市,大新田公園,ダイシンデンコウエン,382027,20005,愛媛県今治市大新田町五丁目11-7,愛媛県,今治市,大新田町五丁目,11-7,,34.07869,132.99067,,,管理事務所,,,7940005,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357032
382027,74,愛媛県今治市,国分公民館,コクブコウミンカン,382027,52003,愛媛県今治市唐子台東三丁目23-6,愛媛県,今治市,唐子台東三丁目,23-6,,34.02843,133.03047,階数,1,1階正面玄関トイレ横(屋外),,,7991531,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357031
382027,75,愛媛県今治市,城東公民館,ジョウトウコウミンカン,382027,177004,愛媛県今治市東門町四丁目1-6,愛媛県,今治市,東門町四丁目,1-6,,34.06048,133.01284,階数,1,1階正面玄関ロビー,,,7940033,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357030
382027,76,愛媛県今治市,鳥生公民館,トリウコウミンカン,382027,137001,愛媛県今治市土橋町一丁目8-42,愛媛県,今治市,土橋町一丁目,8-42,,34.04911,133.00387,階数,1,1階図書室前,,,7940815,3000020382027,今治市,,,,,,,,,,,https://meqqe.jp/spots/10357029
