No,ID,名前,場所,緯度,経度,URL,地区,年度
547,a5K7F000001YlU2UAK,二ツ池,今治市上浦町甘崎,34.24275,133.0486111,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_11.pdf?1,上浦地区,令和4年
548,a5K7F000001YlU3UAK,家の空池,今治市上浦町甘崎,34.24161111,133.0488889,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_12.pdf?1,上浦地区,令和4年
549,a5K7F000001YlU4UAK,下の川池,今治市上浦町甘崎,34.23833333,133.0476389,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_13.pdf?1,上浦地区,令和4年
550,a5K7F000001YlU5UAK,殿田池,今治市上浦町甘崎,34.23591667,133.0471111,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_14.pdf?1,上浦地区,令和4年
551,a5K7F000001YlU6UAK,池の内上池,今治市上浦町瀬戸,34.23308333,133.0483333,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_15.pdf?1,上浦地区,令和4年
552,a5K7F000001YlU7UAK,池の内下池,今治市上浦町瀬戸,34.23316667,133.0486944,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_16.pdf?1,上浦地区,令和4年
553,a5K7F000001YlU8UAK,深田池,今治市上浦町瀬戸,34.2215,133.0499722,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_R4_17.pdf?1,上浦地区,令和4年
557,a5K7F000001YlUBUA0,上浦ダム,今治市上浦町井口,34.25113889,133.0279722,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_kamiuradam.pdf,上浦地区,
558,a5K7F000001YlU9UAK,三戸池,今治市上浦町盛,34.29047222,133.0148056,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kamiura_takoutaueike.pdf,上浦地区,
559,a5K7F000001YlUAUA0,口ノ谷上池,今治市上浦町盛,34.281,133.02875,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kuchinotaniueike.pdf,上浦地区,
560,a5K7F000001YlUCUA0,勘左エ門田池,今治市上浦町甘崎,34.24891667,133.04825,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/kanzaemondaike.pdf,上浦地区,
561,a5K7F000001YlUDUA0,奥山池,今治市上浦町瀬戸,34.23102778,133.0409167,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/okuyamaike.pdf,上浦地区,
562,a5K7F000001YlUEUA0,長田上池,今治市上浦町盛,34.29111111,133.0117778,https://www.city.imabari.ehime.jp/noudo/hazardmap/kamiura/nagataueike.pdf,上浦地区,
563,a5K7F000001YlUFUA0,頼近池,今治市大三島町肥海,34.2775,132.9970833,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/omishima_R4_01.pdf,大三島地区,令和4年
564,a5K7F000001YlUHUA0,平石池,今治市大三島町野々江,34.21238889,132.9892778,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/omishima_R4_02.pdf,大三島地区,令和4年
565,a5K7F000001YlUIUA0,峠池,今治市大三島町口総,34.21913889,132.976,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/omishima_R4_03.pdf?1,大三島地区,令和4年
566,a5K7F000001YlUJUA0,上角池,今治市大三島町口総,34.21736111,132.9758889,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/omishima_R4_04.pdf?2,大三島地区,令和4年
567,a5K7F000001YlUKUA0,田中池,今治市大三島町口総,34.21477778,132.9715278,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/omishima_R4_05.pdf,大三島地区,令和4年
569,a5K7F000001YlUGUA0,浦伐池,今治市大三島町宮浦,34.24536111,133.01375,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/omishima_uragiriike.pdf,大三島地区,
570,a5K7F000001YlULUA0,ワサダ池,今治市大三島町野々江,34.21097222,132.9848611,https://www.city.imabari.ehime.jp/noudo/hazardmap/omishima/wasadaike.pdf,大三島地区,
