名称,テーマ,分類,所在地,リンク,緯度,経度
今治市立富田小学校,小学校,公共施設,今治市上徳甲394番地4,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.03390985,133.0135189
今治市立常盤小学校,小学校,公共施設,今治市中日吉町2丁目6番55号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.05953749,132.9896514
今治市立日高小学校,小学校,公共施設,今治市別名446番地2,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.0456955,132.9763165
今治市立朝倉小学校,小学校,公共施設,今治市朝倉北甲281番地,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,33.99874081,133.0164525
今治市立桜井小学校,小学校,公共施設,今治市郷桜井1丁目8番26号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.0171751,133.0334717
今治市立波方小学校,小学校,公共施設,今治市波方町養老甲803番地の1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.10465192,132.9462924
今治市立波止浜小学校,小学校,公共施設,今治市地堀1丁目3番40号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.10581624,132.9651551
今治市立清水小学校,小学校,公共施設,今治市五十嵐甲13番地3,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.03272434,132.9844471
今治市立立花小学校,小学校,公共施設,今治市立花町4丁目3番45号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.04783737,133.0014359
今治市立菊間小学校,小学校,公共施設,今治市菊間町長坂2000番地1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.03255645,132.8457577
今治市立近見小学校,小学校,公共施設,今治市近見町1丁目5番1号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.08965791,132.9857478
今治市立鳥生小学校,小学校,公共施設,今治市南高下町3丁目3番71号,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.04883432,133.0133505
今治市立鴨部小学校,小学校,公共施設,今治市玉川町中村甲574番地1,https://www.city.imabari.ehime.jp/gakukyou/s-ichiran.html#01,34.02219041,132.95636
「SHIMANAMI」モニュメント,展望・ビュースポット,観光情報,今治市砂場町2丁目8番1号,https://www.city.imabari.ehime.jp/kanko/spot/?a=21,34.1099047,132.9781749
とびがらす園地,展望・ビュースポット,観光情報,今治市大西町九王甲1168番地,https://www.city.imabari.ehime.jp/kanko/spot/?a=169,34.0829711,132.9228838
カレイ山展望台,展望・ビュースポット,観光情報,今治市宮窪町宮窪6355番地2,https://www.city.imabari.ehime.jp/kanko/spot/?a=186,34.18412287,133.070401
サイクリストの聖地碑,展望・ビュースポット,観光情報,今治市上浦町井口9180-2,https://www.city.imabari.ehime.jp/kanko/cycling/,34.25540475,133.0546906
ナガタニ展望台,展望・ビュースポット,観光情報,今治市関前岡村乙27番地1,https://www.city.imabari.ehime.jp/kanko/spot/?a=253,34.17983077,132.8789954
今治市よしうみ亀老山展望公園,展望・ビュースポット,観光情報,今治市吉海町南浦487番地4,https://www.city.imabari.ehime.jp/kanko/spot/?a=182,34.11991379,133.0335687
今治市来島海峡展望館,展望・ビュースポット,観光情報,今治市小浦町2丁目5番2号,https://www.city.imabari.ehime.jp/kanko/spot/?a=95,34.1142366,132.97778
塔ノ峰公園,展望・ビュースポット,観光情報,今治市波方町西浦乙1078-1,https://www.city.imabari.ehime.jp/kanko/spot/?a=162,34.12502654,132.9442697
多々羅展望台,展望・ビュースポット,観光情報,今治市上浦町井口7505番地7,https://www.city.imabari.ehime.jp/kanko/spot/?a=216,34.25699997,133.0550558
大下島灯台,展望・ビュースポット,観光情報,今治市関前大下,https://www.city.imabari.ehime.jp/kanko/spot/?a=257,34.18890799,132.9180741
妙見山古墳,展望・ビュースポット,観光情報,今治市大西町宮脇乙579-1,https://www.city.imabari.ehime.jp/kanko/spot/?a=168,34.05874157,132.9307915
小島,展望・ビュースポット,観光情報,今治市来島,https://www.city.imabari.ehime.jp/kanko/spot/?a=101,34.12323753,132.9767614
岡村大橋,展望・ビュースポット,観光情報,今治市関前岡村,https://www.city.imabari.ehime.jp/kanko/spot/?a=258,34.19274736,132.8605841
来島,展望・ビュースポット,観光情報,今治市来島,https://www.city.imabari.ehime.jp/kanko/spot/?a=100,34.11809164,132.9694119
海山城展望公園,展望・ビュースポット,観光情報,今治市波方町樋口乙747-2,https://www.city.imabari.ehime.jp/kanko/spot/?a=159,34.10668209,132.953817
立石展望台,展望・ビュースポット,観光情報,今治市上浦町井口7987番地2,https://www.city.imabari.ehime.jp/kanko/spot/?a=215,34.24900004,133.0380447
船折瀬戸,展望・ビュースポット,観光情報,今治市伯方町有津,https://www.city.imabari.ehime.jp/kanko/spot/?a=197,34.19441542,133.0862917
芸予要塞跡,展望・ビュースポット,観光情報,今治市来島,https://www.city.imabari.ehime.jp/kanko/spot/?a=102,34.12645736,132.9813282
近見山園地,展望・ビュースポット,観光情報,今治市近見町5丁目乙466番地,https://www.city.imabari.ehime.jp/kanko/spot/?a=98,34.08590122,132.971844
開山展望台,展望・ビュースポット,観光情報,今治市伯方町伊方乙108番地71,https://www.city.imabari.ehime.jp/kanko/spot/?a=206,34.22880712,133.0652257
鼻栗瀬戸展望台,展望・ビュースポット,観光情報,今治市上浦町瀬戸4658番地1,https://www.city.imabari.ehime.jp/kanko/spot/?a=219,34.21604162,133.0519357
上浦ハイツ,市営住宅,公共施設,今治市上浦町井口7073番地13,https://www.city.imabari.ehime.jp/jutaku/,34.26021116,133.0449525
上浦井口,市営住宅,公共施設,今治市上浦町井口5560番地,https://www.city.imabari.ehime.jp/jutaku/,34.26417989,133.0350341
上浦井田浜,市営住宅,公共施設,今治市上浦町盛2258番地,https://www.city.imabari.ehime.jp/jutaku/,34.27319271,133.0373911
上浦古戸,市営住宅,公共施設,今治市上浦町井口5944番地,https://www.city.imabari.ehime.jp/jutaku/,34.26263286,133.0365285
上浦古池,市営住宅,公共施設,今治市上浦町盛2258番地,https://www.city.imabari.ehime.jp/jutaku/,34.29364045,133.0259231
上浦大新田,市営住宅,公共施設,今治市上浦町甘崎3873番地1,https://www.city.imabari.ehime.jp/jutaku/,34.23661432,133.0532078
上浦寿合南,市営住宅,公共施設,今治市上浦町盛3092番地1,https://www.city.imabari.ehime.jp/jutaku/,34.28831368,133.0314909
上浦瀬戸,市営住宅,公共施設,今治市上浦町瀬戸2633番地2,https://www.city.imabari.ehime.jp/jutaku/,34.2256779,133.0538247
上浦盛,市営住宅,公共施設,今治市上浦町盛3115番地1,https://www.city.imabari.ehime.jp/jutaku/,34.28842228,133.0318587
上浦神田,市営住宅,公共施設,今治市上浦町盛1252番地,https://www.city.imabari.ehime.jp/jutaku/,34.29384686,133.0217587
今治市吉海町定住促進住宅,市営住宅,公共施設,今治市吉海町臥間24番地,https://www.city.imabari.ehime.jp/jutaku/,34.13080261,133.0213915
今治市大三島町定住促進住宅,市営住宅,公共施設,今治市大三島町宮浦5303番地,https://www.city.imabari.ehime.jp/jutaku/,34.24531589,132.9968021
今治駅西第１再開発住宅,市営住宅,公共施設,今治市北日吉町1丁目9番39号,https://www.city.imabari.ehime.jp/jutaku/,34.06390804,132.9894455
今治駅西第２再開発住宅,市営住宅,公共施設,今治市北日吉町1丁目16番8号,https://www.city.imabari.ehime.jp/jutaku/,34.06569613,132.9917815
伯方三坂山,市営住宅,公共施設,今治市伯方町伊方甲1768番地,https://www.city.imabari.ehime.jp/jutaku/,34.21945215,133.0682598
伯方伊方,市営住宅,公共施設,今治市伯方町伊方甲179番地4,https://www.city.imabari.ehime.jp/jutaku/,34.22787285,133.076207
伯方古江,市営住宅,公共施設,今治市伯方町木浦甲3994番地1,https://www.city.imabari.ehime.jp/jutaku/,34.21275553,133.1117824
伯方吉田,市営住宅,公共施設,今治市伯方町北浦甲869番地2,https://www.city.imabari.ehime.jp/jutaku/,34.22667066,133.0963786
伯方小島団地特定住宅,市営住宅,公共施設,今治市伯方町北浦甲1333番地11,https://www.city.imabari.ehime.jp/jutaku/,34.23313666,133.1024651
伯方小田,市営住宅,公共施設,今治市伯方町北浦甲2824番地6,https://www.city.imabari.ehime.jp/jutaku/,34.23109009,133.0882091
伯方尾浦,市営住宅,公共施設,今治市伯方町木浦甲4652番地,https://www.city.imabari.ehime.jp/jutaku/,34.19814651,133.1053029
伯方峠ノ越,市営住宅,公共施設,今治市伯方町木浦甲557番地1,https://www.city.imabari.ehime.jp/jutaku/,34.20858339,133.1178184
伯方明神ケ崎団地特定住宅,市営住宅,公共施設,今治市伯方町有津甲1862番地,https://www.city.imabari.ehime.jp/jutaku/,34.19906856,133.087998
伯方梅,市営住宅,公共施設,今治市伯方町有津甲17番地,https://www.city.imabari.ehime.jp/jutaku/,34.20292836,133.1031044
伯方湊,市営住宅,公共施設,今治市伯方町木浦1726番地2,https://www.city.imabari.ehime.jp/jutaku/,34.20295408,133.1149376
伯方湊団地特定住宅,市営住宅,公共施設,今治市伯方町木浦1714番地,https://www.city.imabari.ehime.jp/jutaku/,34.20300329,133.115045
伯方瀬戸浜,市営住宅,公共施設,今治市伯方町木浦甲654番地3,https://www.city.imabari.ehime.jp/jutaku/,34.21127178,133.1186471
伯方薬師,市営住宅,公共施設,今治市伯方町木浦甲999番地1,https://www.city.imabari.ehime.jp/jutaku/,34.20963186,133.1156615
伯方薬師団地特定住宅,市営住宅,公共施設,今治市伯方町木浦甲999番地1,https://www.city.imabari.ehime.jp/jutaku/,34.20896763,133.114559
八町,市営住宅,公共施設,今治市八町西5丁目1番40号,https://www.city.imabari.ehime.jp/jutaku/,34.04239364,132.9927431
北鳥生,市営住宅,公共施設,今治市北鳥生町1丁目4番8号,https://www.city.imabari.ehime.jp/jutaku/,34.05584502,133.0103389
南日吉,市営住宅,公共施設,今治市南日吉町2丁目1番5号,https://www.city.imabari.ehime.jp/jutaku/,34.05812456,132.9935443
